record_id,timestamp,department,data_system,cost_category,planned_costs,actual_costs,cost_optimization_strategy,satisfaction_level,employee_count,cost_deviation,cost_per_employee
1,2023-02-06 13:36:39,HR,ERP,Заработная плата персонала,57140,49600,Повышение квалификации сотрудников,Недоволен,259,-7540,191.51
2,2024-06-09 01:13:58,Маркетинг,ERP,Лицензии на ПО,75778,92919,Автоматизация рутинных задач,Очень недоволен,185,17141,502.26
3,2023-01-16 21:49:03,ИТ,CRM,Обслуживание оборудования,57877,50091,Переход на ПО с открытым исходным кодом,Недоволен,358,-7786,139.92
4,2024-02-19 13:25:41,Маркетинг,ERP,Лицензии на ПО,70022,86830,Автоматизация рутинных задач,Нейтрально,261,16808,332.68
5,2024-11-01 11:12:08,Производство,ERP,Заработная плата персонала,52388,52905,Централизация закупок ПО,Доволен,382,517,138.49
6,2023-04-02 05:56:12,Маркетинг,ETL-инструменты,Консалтинг,71176,68940,Автоматизация рутинных задач,Нейтрально,10,-2236,6894.0
7,2023-09-23 16:08:56,Продажи,Data Lake,Консалтинг,43855,49892,Пересмотр лицензионных соглашений,Очень доволен,278,6037,179.47
8,2024-06-03 15:40:16,Продажи,CRM,Облачные сервисы,35542,38416,Автоматизация рутинных задач,Очень доволен,426,2874,90.18
9,2023-01-07 09:19:04,HR,CRM,Лицензии на ПО,87953,78017,Оптимизация облачных ресурсов,Доволен,481,-9936,162.2
10,2023-11-06 03:54:33,Продажи,ERP,Лицензии на ПО,89755,102020,Повышение квалификации сотрудников,Недоволен,459,12265,222.27
11,2024-08-16 05:36:24,HR,Система управленческого учета,Обучение сотрудников,53155,47517,Переход на ПО с открытым исходным кодом,Недоволен,320,-5638,148.49
12,2023-04-14 08:40:47,Маркетинг,CRM,Заработная плата персонала,25473,30709,Переход на ПО с открытым исходным кодом,Нейтрально,459,5236,66.9
13,2024-08-25 12:47:19,HR,Data Lake,Консалтинг,68153,63385,Автоматизация рутинных задач,Недоволен,175,-4768,362.2
14,2023-05-18 15:33:03,ИТ,Data Lake,Облачные сервисы,77101,69539,Переход на ПО с открытым исходным кодом,Доволен,49,-7562,1419.16
15,2023-10-13 13:42:57,Продажи,ETL-инструменты,Обучение сотрудников,83856,92694,Пересмотр лицензионных соглашений,Доволен,311,8838,298.05
16,2023-05-22 02:14:15,Продажи,ETL-инструменты,Лицензии на ПО,8053,8481,Оптимизация облачных ресурсов,Недоволен,78,428,108.73
